x0,x1,y
37,78,1
7,93,1
64,12,0
59,53,1
31,97,1
2,75,0
0,4,0
91,41,1
69,43,0
27,90,1
91,82,1
65,42,0
58,54,1
25,96,1
41,10,0
98,54,1
65,72,1
95,30,0
45,23,0
88,68,1
74,29,0
31,70,1
90,64,1
32,43,0
8,95,1
67,26,0
38,26,0
92,92,1
56,24,0
27,51,0
59,42,0
56,35,0
29,3,0
28,68,1
30,8,0
54,89,1
45,63,1
50,62,1
16,58,0
99,24,0
73,18,0
83,38,0
89,24,0
39,70,1
37,34,0
15,78,1
16,69,0
65,71,1
26,93,1
87,18,0
7,50,0
21,41,0
57,76,1
68,64,1
56,11,0
22,38,0
51,24,0
0,94,1
14,74,1
11,92,1
21,51,0
35,8,0
5,85,1
59,65,1
48,14,0
96,28,0
30,36,0
24,85,1
13,23,0
14,21,0
86,76,1
27,91,1
48,82,1
13,91,1
70,4,0
37,11,0
28,33,0
88,73,1
77,1,0
3,26,0
77,8,0
59,34,0
50,56,1
64,64,1
49,1,0
54,45,0
81,84,1
75,38,0
11,9,0
7,77,1
11,52,0
33,76,1
90,23,0
27,30,0
42,76,1
0,85,1
77,88,1
81,56,1
31,52,0
6,13,0
